AUM,Target Return,Target ES,Target Vol,x1,x2,x3,x4
35000000,0.075209396,0.095495724,0.046244644,0.551236173,0.023200961,0.220493709,0.205069156
35000000,0.075816628,0.097435169,0.047184079,0.551870413,0.010012571,0.227667131,0.210449886
35000000,0.076877214,0.101349533,0.049098498,0.531074684,0.009271493,0.263125832,0.196527991
35000000,0.077914435,0.104852605,0.050783714,0.524328975,0,0.255747038,0.219923987
35000000,0.07901015,0.108858719,0.052731039,0.504580644,5.04E-05,0.276967076,0.218401866
35000000,0.079835252,0.11246696,0.054400474,0.501633861,0,0.217051714,0.281314425
35000000,0.080883515,0.115749424,0.056074671,0.471967593,0,0.306595356,0.221437052
35000000,0.081825729,0.119276179,0.057784733,0.455318943,0,0.32293777,0.221743287
35000000,0.082948993,0.123007653,0.059582627,0.440011847,0,0.313343139,0.246645013
35000000,0.083817804,0.126040188,0.061042415,0.427827073,0,0.308132546,0.264040382
35000000,0.084869421,0.130014507,0.062968784,0.396049001,0.017254312,0.320066238,0.266630449
35000000,0.085904695,0.133951443,0.064892477,0.388178274,0,0.36209318,0.249728545
35000000,0.086861523,0.137183929,0.066404337,0.384303643,0,0.295233774,0.320462583
35000000,0.087891905,0.140691351,0.068119422,0.364668135,0,0.322256072,0.313075792
35000000,0.088910255,0.144453459,0.069931437,0.350090122,0,0.318044201,0.331865678
35000000,0.089976502,0.148585747,0.071976472,0.302951971,0.025847501,0.381711115,0.289489413
35000000,0.090822529,0.151649232,0.07338844,0.322256072,0,0.313075792,0.364668135
35000000,0.091865836,0.154994291,0.075069803,0.294587603,0,0.390300805,0.315111592
35000000,0.092816905,0.159469392,0.077168871,0.268067728,0.028987896,0.316440054,0.386504322
35000000,0.093861311,0.162143204,0.078502043,0.268235866,0,0.367868812,0.363895321
35000000,0.094886351,0.165767735,0.080264084,0.249728545,0,0.388178274,0.36209318
35000000,0.095860139,0.170282325,0.082433429,0.203375491,0.044153154,0.359330568,0.393140787
35000000,0.096840205,0.177443241,0.085867818,0.105565051,0.142001665,0.376794959,0.375638325
